,PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sale_Price
259,907200280,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,38,15240,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Average,Very_Good,1977,2004,Gable,CompShg,CemntBd,CmentBd,None,0,Good,Good,CBlock,Good,Typical,No,GLQ,3,Rec,688,140,1026,GasA,Excellent,Y,SBrkr,1026,0,0,1026,1,0,1,1,3,1,Typical,5,Typ,0,No_Fireplace,Attchd,1977.0,Unf,1,308,Typical,Typical,Paved,316,85,0,0,0,0,No_Pool,Minimum_Privacy,None,0,6,2010,WD ,Normal,-93.68773,42.022186,150000
262,907203070,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,68,7480,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Average,Above_Average,1972,1972,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Typical,CBlock,Typical,Typical,Av,ALQ,1,Unf,0,396,876,GasA,Typical,Y,SBrkr,876,0,0,876,1,0,1,0,3,1,Typical,5,Typ,0,No_Fireplace,Detchd,1977.0,Unf,2,484,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,6,2010,WD ,Normal,-93.683727,42.021133,127000
263,907250030,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,10389,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Very_Good,Average,2003,2003,Hip,CompShg,CemntBd,CmentBd,BrkFace,320,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,296,1978,GasA,Excellent,Y,SBrkr,1978,0,0,1978,1,0,2,1,3,1,Good,8,Typ,1,Good,Attchd,2003.0,RFn,3,850,Typical,Typical,Paved,188,25,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.687859,42.018662,318000
264,907252120,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11423,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Very_Good,Average,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,479,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,223,1581,GasA,Excellent,Y,SBrkr,1601,0,0,1601,1,0,2,0,3,1,Good,6,Typ,1,Typical,Attchd,2001.0,RFn,2,670,Typical,Typical,Paved,180,0,0,0,0,0,No_Pool,Minimum_Privacy,Shed,2000,5,2010,WD ,Normal,-93.685523,42.019069,272000
265,907262050,Two_Story_1946_and_Newer,Residential_Low_Density,44,9548,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,College_Creek,Norm,Norm,OneFam,Two_Story,Good,Above_Average,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,223,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,458,941,GasA,Excellent,Y,SBrkr,941,888,0,1829,1,0,2,1,3,1,Good,7,Typ,1,Typical,Attchd,2003.0,RFn,2,613,Typical,Typical,Paved,192,39,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,WD ,Normal,-93.687764,42.016121000000005,237000
267,907290040,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,48,12137,Pave,No_Alley_Access,Moderately_Irregular,Lvl,AllPub,CulDSac,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,442,Typical,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1649,1649,GasA,Excellent,Y,SBrkr,1661,0,0,1661,0,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,1998.0,RFn,2,598,Typical,Typical,Paved,0,34,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.682686,42.017749,224900
270,907401090,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,48,10635,Pave,No_Alley_Access,Moderately_Irregular,Lvl,AllPub,FR2,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Very_Good,Average,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,171,Good,Typical,PConc,Good,Typical,Av,BLQ,2,GLQ,972,315,1657,GasA,Excellent,Y,SBrkr,1668,0,0,1668,1,0,2,0,3,1,Good,8,Typ,1,Typical,Attchd,2003.0,Fin,2,502,Typical,Typical,Paved,0,262,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.687922,42.01404,232000
272,907414030,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,8773,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,1390,1414,GasA,Excellent,Y,SBrkr,1414,0,0,1414,0,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,2004.0,RFn,2,494,Typical,Typical,Paved,132,105,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.68596099999999,42.014023,185500
273,908102060,One_Story_1945_and_Older,Residential_Low_Density,67,8777,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Mod,Edwards,Feedr,Norm,OneFam,One_Story,Fair,Above_Average,1945,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Good,CBlock,No_Basement,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,N,SBrkr,640,0,0,640,0,0,1,0,2,1,Typical,5,Min1,0,No_Fireplace,Detchd,1945.0,Unf,1,240,Typical,Typical,Dirt_Gravel,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,ConLD,Normal,-93.6783313,42.0203585,84900
274,908102110,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,68,8842,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,OneFam,One_Story,Average,Above_Average,1954,1954,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Good,CBlock,Fair,Typical,No,Unf,7,Unf,0,381,381,GasA,Excellent,Y,SBrkr,992,0,0,992,0,0,1,0,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,1954.0,Unf,1,319,Typical,Typical,Paved,60,0,56,0,0,0,No_Pool,Minimum_Privacy,None,0,1,2010,Oth,Abnorml,-93.677482,42.021245,155891
277,908102300,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,89,11792,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,OneFam,One_and_Half_Fin,Below_Average,Average,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0,744,744,GasA,Excellent,N,FuseF,792,328,0,1120,0,0,1,0,2,1,Fair,5,Typ,0,No_Fireplace,Detchd,1956.0,Unf,2,480,Typical,Fair,Partial_Pavement,0,0,0,0,160,0,No_Pool,No_Fence,None,0,6,2010,WD ,Abnorml,-93.676372,42.021163,64000
278,908103350,Split_or_Multilevel,Residential_Low_Density,65,6305,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,OneFam,SLvl,Above_Average,Above_Average,1975,1975,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,CBlock,Typical,Typical,Av,ALQ,1,Unf,0,480,1008,GasA,Typical,Y,SBrkr,1096,0,0,1096,1,0,1,0,3,1,Typical,5,Typ,1,Fair,Detchd,1975.0,Unf,1,352,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.675268,42.020306,125200
279,908152080,Split_or_Multilevel,Residential_Low_Density,94,7819,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,OneFam,SLvl,Above_Average,Average,1976,1976,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,CBlock,Typical,Typical,Av,ALQ,1,BLQ,127,480,1029,GasA,Typical,Y,SBrkr,1117,0,0,1117,1,0,1,0,3,1,Typical,6,Typ,1,Typical,Detchd,1976.0,Unf,2,672,Typical,Typical,Paved,144,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,3,2010,WD ,Abnorml,-93.675175,42.019849,107000
280,908203100,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,64,6410,Pave,No_Alley_Access,Regular,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm,OneFam,One_Story,Below_Average,Average,1958,1958,Hip,CompShg,WdShing,Wd Shng,None,0,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0,960,960,GasA,Excellent,Y,SBrkr,960,0,0,960,0,0,1,0,3,1,Typical,5,Typ,0,No_Fireplace,No_Garage,,No_Garage,0,0,No_Garage,No_Garage,Paved,0,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,5,2010,WD ,Normal,-93.6663375,42.019628999999995,90000
281,908208020,One_Story_1946_and_Newer_All_Styles,Residential_Medium_Density,80,8546,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,OneFam,One_Story,Below_Average,Average,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1121,1121,GasA,Excellent,Y,SBrkr,1121,0,0,1121,0,0,2,0,2,1,Typical,5,Typ,0,No_Fireplace,Attchd,2003.0,RFn,2,440,Typical,Typical,Paved,132,64,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,-93.66751,42.020196,140000
282,908225320,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,52,8741,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,OneFam,One_and_Half_Fin,Above_Average,Below_Average,1945,1950,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,CBlock,Typical,Fair,No,LwQ,4,Unf,0,641,735,GasA,Typical,Y,FuseA,798,689,0,1487,0,0,1,1,3,1,Typical,7,Typ,1,Good,Detchd,1949.0,Unf,1,220,Typical,Typical,Paved,0,140,0,0,0,0,No_Pool,Minimum_Privacy,None,0,4,2010,WD ,Normal,-93.66484100000001,42.021793,113000
283,908226130,Two_Family_conversion_All_Styles_and_Ages,Residential_Low_Density,60,12180,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwoFmCon,One_and_Half_Fin,Below_Average,Below_Average,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,Fair,BrkTil,Good,Typical,No,BLQ,2,Unf,0,324,672,Grav,Fair,N,FuseA,672,252,0,924,1,0,1,0,2,1,Fair,5,Typ,0,No_Fireplace,Detchd,1941.0,Unf,1,280,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,7,2010,WD ,Normal,-93.660168,42.021583,80000
285,909100080,One_Story_1945_and_Older,Residential_Low_Density,67,4853,Pave,No_Alley_Access,Regular,Bnk,AllPub,Inside,Gtl,South_and_West_of_Iowa_State_University,Artery,Norm,OneFam,One_Story,Average,Above_Average,1924,1999,Gable,CompShg,MetalSd,VinylSd,BrkFace,203,Typical,Typical,BrkTil,Typical,Typical,Mn,Rec,6,Unf,0,974,1107,GasA,Fair,N,FuseA,1296,0,0,1296,0,0,2,0,2,1,Fair,5,Typ,1,Good,Detchd,1979.0,Unf,1,260,Typical,Typical,Paved,0,0,36,0,0,0,No_Pool,Minimum_Privacy,None,0,5,2010,WD ,Normal,-93.655762,42.022674,104000
286,909100110,Two_Story_1945_and_Older,Residential_Low_Density,66,6858,Pave,No_Alley_Access,Regular,Bnk,AllPub,Corner,Gtl,South_and_West_of_Iowa_State_University,Norm,Norm,OneFam,Two_Story,Above_Average,Below_Average,1915,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,806,806,GasA,Typical,N,FuseF,841,806,0,1647,1,0,1,1,4,1,Fair,6,Typ,0,No_Fireplace,Detchd,1920.0,Unf,1,216,Typical,Typical,Paved,0,66,136,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.655653,42.022702,128000
287,909101070,One_Story_1945_and_Older,Residential_Low_Density,45,8212,Pave,Gravel,Regular,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,OneFam,One_Story,Fair,Fair,1914,1950,Gable,CompShg,Stucco,Stucco,None,0,Typical,Fair,BrkTil,Typical,Fair,No,Rec,6,Unf,0,661,864,GasA,Typical,N,FuseF,864,0,0,864,1,0,1,0,2,1,Typical,5,Typ,0,No_Fireplace,Detchd,1938.0,Unf,1,200,Typical,Fair,Paved,0,0,96,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.65671800000001,42.022089,58500
288,909176140,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,50,5000,Pave,Paved,Regular,Lvl,AllPub,Inside,Gtl,South_and_West_of_Iowa_State_University,Norm,Norm,OneFam,One_and_Half_Fin,Average,Above_Average,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0,Typical,Typical,BrkTil,Typical,Typical,No,LwQ,4,Unf,0,808,1026,GasA,Typical,Y,SBrkr,1026,665,0,1691,0,0,2,0,3,1,Good,6,Typ,1,Good,Detchd,1924.0,Unf,1,308,Typical,Typical,Paved,0,0,242,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.65032099999999,42.017737,127000
289,909176150,One_Story_1945_and_Older,Residential_Low_Density,0,7890,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,South_and_West_of_Iowa_State_University,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,618,856,GasA,Typical,Y,SBrkr,856,0,0,856,1,0,1,0,2,1,Typical,4,Typ,1,Good,Detchd,1939.0,Unf,2,399,Typical,Typical,Paved,0,0,0,0,166,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,-93.65144129999999,42.0177987,126000
293,909281080,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,78,10452,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Crawford,Norm,Norm,OneFam,One_and_Half_Fin,Good,Above_Average,1941,1985,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,371,Good,Good,BrkTil,Good,Typical,No,ALQ,1,BLQ,252,850,1528,GasA,Excellent,Y,SBrkr,1225,908,0,2133,1,0,1,1,4,1,Typical,8,Typ,2,Typical,Attchd,1941.0,Unf,1,312,Typical,Typical,Paved,0,0,86,0,0,0,No_Pool,No_Fence,None,0,7,2010,WD ,Normal,-93.640041,42.016226,257500
294,909426080,Duplex_All_Styles_and_Ages,Residential_Low_Density,78,15600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Crawford,Norm,Norm,Duplex,Two_Story,Average,Above_Average,1950,1991,Gable,CompShg,VinylSd,VinylSd,BrkFace,430,Typical,Good,CBlock,Typical,Typical,No,ALQ,1,Unf,0,657,1032,GasA,Excellent,Y,SBrkr,1102,1075,0,2177,0,0,2,1,5,2,Typical,11,Typ,0,No_Fireplace,Detchd,1950.0,Unf,2,484,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,-93.639781,42.014936999999996,215000
295,909427230,Two_Story_1945_and_Older,Residential_Low_Density,66,9042,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Crawford,Norm,Norm,OneFam,Two_Story,Good,Excellent,1941,2006,Gable,CompShg,CemntBd,CmentBd,None,0,Excellent,Good,Stone,Typical,Good,No,GLQ,3,Unf,0,877,1152,GasA,Excellent,Y,SBrkr,1188,1152,0,2340,0,0,2,0,4,1,Good,9,Typ,2,Good,Attchd,1941.0,RFn,1,252,Typical,Typical,Paved,0,60,0,0,0,0,No_Pool,Good_Privacy,Shed,2500,5,2010,WD ,Normal,-93.64279300000001,42.014682,266500
296,909428280,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,100,17500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Crawford,PosA,Norm,OneFam,One_Story,Good,Very_Good,1959,2002,Gable,CompShg,BrkFace,HdBoard,None,0,Good,Good,PConc,Good,Typical,Av,GLQ,3,Unf,0,496,1902,GasA,Typical,Y,SBrkr,1902,0,0,1902,1,0,2,0,3,1,Excellent,7,Typ,2,Typical,Attchd,1959.0,Fin,2,567,Typical,Typical,Paved,0,207,162,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.639678,42.011005,335000
297,909452114,Split_or_Multilevel,Residential_Low_Density,85,19645,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,Crawford,Norm,Norm,OneFam,SLvl,Good,Above_Average,1994,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,44,Typical,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,80,423,GasA,Excellent,Y,SBrkr,896,756,0,1652,1,0,2,1,3,1,Good,6,Typ,0,No_Fireplace,BuiltIn,1994.0,RFn,2,473,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.645014,42.010606,203135
298,909455030,One_Story_PUD_1946_and_Newer,Residential_Medium_Density,35,3907,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,One_Story,Very_Good,Above_Average,1989,1989,Gable,CompShg,HdBoard,HdBoard,None,0,Good,Typical,CBlock,Good,Typical,Gd,GLQ,3,Unf,0,235,982,GasA,Good,Y,SBrkr,1034,0,0,1034,1,0,1,0,1,1,Good,4,Typ,1,Typical,Attchd,1989.0,Fin,2,598,Typical,Typical,Paved,141,36,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,-93.645701,42.009345,185000
299,909455040,One_Story_PUD_1946_and_Newer,Residential_Medium_Density,35,3907,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1989,1989,Gable,CompShg,HdBoard,HdBoard,None,0,Good,Typical,CBlock,Good,Typical,Av,GLQ,3,Unf,0,1115,1191,GasA,Good,Y,SBrkr,1191,0,0,1191,0,0,2,0,2,1,Good,5,Typ,1,Typical,Attchd,1989.0,Unf,2,531,Typical,Typical,Paved,112,81,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,-93.645729,42.009337,162500
301,910202060,One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,40,5436,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Iowa_DOT_and_Rail_Road,Norm,Norm,OneFam,One_and_Half_Fin,Below_Average,Very_Good,1922,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Good,BrkTil,Typical,Typical,No,BLQ,2,Unf,0,61,796,GasA,Good,Y,SBrkr,796,358,0,1154,1,0,1,0,3,1,Good,7,Typ,0,No_Fireplace,Detchd,1922.0,Unf,1,240,Typical,Typical,Dirt_Gravel,0,96,0,0,0,0,No_Pool,Minimum_Privacy,None,0,5,2010,WD ,Normal,-93.625291,42.022771999999996,125500
302,910203250,One_Story_1945_and_Older,Residential_Medium_Density,58,8154,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Iowa_DOT_and_Rail_Road,Norm,Norm,OneFam,One_Story,Poor,Average,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Typical,BrkTil,Typical,Typical,No,BLQ,2,Unf,0,0,480,GasA,Typical,Y,SBrkr,540,0,0,540,0,0,1,0,1,1,Typical,4,Typ,0,No_Fireplace,Detchd,1951.0,Unf,1,200,Fair,Fair,Dirt_Gravel,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,ConLw,Normal,-93.629496,42.021414,82000
304,911128180,One_and_Half_Story_Finished_All_Ages,C_all,60,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Iowa_DOT_and_Rail_Road,Norm,Norm,OneFam,One_and_Half_Fin,Below_Average,Below_Average,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,Good,CBlock,Typical,Typical,No,Unf,7,Unf,0,698,698,GasA,Typical,Y,FuseA,698,430,0,1128,0,0,1,0,2,1,Typical,6,Typ,0,No_Fireplace,Detchd,1980.0,RFn,2,528,Typical,Typical,Paved,30,0,164,0,0,0,No_Pool,No_Fence,None,0,4,2010,COD,Abnorml,-93.61527199999999,42.021456,68400
305,911202100,One_and_Half_Story_Finished_All_Ages,C_all,66,8712,Pave,Paved,Regular,HLS,AllPub,Inside,Mod,Iowa_DOT_and_Rail_Road,Norm,Norm,OneFam,One_and_Half_Fin,Below_Average,Good,1900,1950,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,Typical,Stone,Typical,Typical,Mn,Unf,7,Unf,0,859,859,GasA,Good,Y,SBrkr,859,319,0,1178,0,0,1,0,2,1,Typical,7,Typ,0,No_Fireplace,Detchd,1964.0,RFn,1,384,Typical,Typical,Dirt_Gravel,68,0,98,0,0,0,No_Pool,No_Fence,None,0,1,2010,WD ,Abnorml,-93.606593,42.022653000000005,102776
306,911204090,One_Story_1946_and_Newer_All_Styles,C_all,66,8712,Grvl,No_Alley_Access,Regular,Bnk,AllPub,Inside,Mod,Iowa_DOT_and_Rail_Road,Norm,Norm,OneFam,One_Story,Average,Average,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,Fair,Typical,CBlock,Typical,Typical,Av,Unf,7,Unf,0,540,540,GasA,Typical,N,FuseA,1044,0,0,1044,0,0,1,0,2,1,Fair,4,Typ,0,No_Fireplace,Basment,1952.0,Unf,2,504,Typical,Typical,Dirt_Gravel,0,0,0,0,0,0,No_Pool,No_Fence,Shed,54,6,2010,WD ,Alloca,-93.608271,42.021327,55993
308,911370510,One_Story_PUD_1946_and_Newer,Residential_Medium_Density,44,3811,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Corner,Mod,Crawford,Artery,Norm,TwnhsE,One_Story,Very_Good,Average,2004,2005,Hip,CompShg,CemntBd,CmentBd,Stone,186,Good,Typical,PConc,Excellent,Typical,Gd,GLQ,3,Unf,0,221,1594,GasA,Excellent,Y,SBrkr,1646,0,0,1646,1,1,2,0,2,1,Good,5,Typ,1,Good,Attchd,2004.0,Fin,2,525,Typical,Typical,Paved,128,53,0,0,155,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.615993,42.008687,246000
309,914467040,Two_Story_1946_and_Newer,Residential_Low_Density,85,11050,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Mitchell,Norm,Norm,OneFam,Two_Story,Very_Good,Average,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,434,1049,GasA,Excellent,Y,SBrkr,1036,880,0,1916,1,0,2,1,3,1,Good,8,Typ,1,Typical,Attchd,1998.0,Unf,3,741,Typical,Typical,Paved,0,70,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.604947,41.99706,254900
312,914478045,Split_or_Multilevel,Residential_Low_Density,0,12328,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Mitchell,Norm,Norm,OneFam,SLvl,Above_Average,Average,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,335,Typical,Typical,CBlock,Typical,Typical,Av,GLQ,3,Unf,0,473,1012,GasA,Typical,Y,SBrkr,1034,0,0,1034,1,0,1,0,3,1,Typical,6,Typ,0,No_Fireplace,Attchd,1976.0,Unf,3,888,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.600797,41.994784,169900
313,914478110,Duplex_All_Styles_and_Ages,Residential_Low_Density,0,12760,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Mitchell,Norm,Norm,Duplex,One_Story,Above_Average,Average,1976,1976,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0,1958,1958,GasA,Typical,Y,SBrkr,2048,0,0,2048,0,0,3,0,5,2,Typical,9,Typ,0,No_Fireplace,More_Than_Two_Types,1976.0,Unf,2,776,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,ConLD,Normal,-93.602002,41.994013,170000
314,916125360,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,57200,Pave,No_Alley_Access,Slightly_Irregular,Bnk,AllPub,Inside,Sev,Timberland,Norm,Norm,OneFam,One_Story,Average,Average,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Typical,CBlock,Typical,Typical,Av,BLQ,2,Rec,334,60,747,GasA,Typical,Y,SBrkr,1687,0,0,1687,1,0,1,0,3,1,Typical,7,Min1,2,Typical,Detchd,1966.0,Unf,2,572,Typical,Typical,Dirt_Gravel,0,0,50,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.657894,41.997741,160000
315,916386010,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88,11896,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Timberland,Norm,Norm,OneFam,One_Story,Good,Average,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,1258,1336,GasA,Excellent,Y,SBrkr,1346,0,0,1346,1,0,2,0,3,1,Good,6,Typ,1,Typical,Attchd,2008.0,Fin,3,660,Typical,Typical,Paved,100,48,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.649203,41.995346000000005,220000
